Designator,Footprint,Quantity,Value,LCSC Part #
"H1, H2, H3, H4","3,2",4,MOUNT-HOLE3.2(NORESIST),
LED CONTROL,ML10,1,,
"PORT1, PORT2, PORT3, PORT4, PORT5, PORT6, PORT7, PORT8",MTJ-88ARX1-LH,8,MTJ-88ARX1-LH,
R1,CR0603,1,R1,
R10,CR0603,1,R10,
R11,CR0603,1,R11,
R12,CR0603,1,R12,
R13,CR0603,1,R13,
R14,CR0603,1,R14,
R15,CR0603,1,R15,
R16,CR0603,1,R16,
R2,CR0603,1,R2,
R3,CR0603,1,R3,
R4,CR0603,1,R4,
R5,CR0603,1,R5,
R6,CR0603,1,R6,
R7,CR0603,1,R7,
R8,CR0603,1,R8,
R9,CR0603,1,R9,
